"id","name","price","brand","description","size","category","true_brand_dirty","true_size"
346,"Lexar 32GB 1400x 210MB/s professional XQD memóriakártya",31990,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
349,"Lexar 32GB 2933x Professional XQD 2.0 memóriakártya",48890,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
374,"Lexar 64GB 1000x Professional SDXC UHS-II memóriakártya",23890,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
173,"Sandisk 128 GB SDXC Ultra memóriakártya 80mb/s",25690,NULL,NULL,NULL,NULL,"SANDISK","128 GB"
30,"Sandisk 16 GB SDHC Ultra memóriakártya 80mb/s",5290,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
85,"Sandisk 32 GB SDHC Ultra memóriakártya 80mb/s",9690,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
124,"Sandisk 64 GB SDXC Ultra memóriakártya 80mb/s",15990,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
7,"Sandisk Micro SDHC 16GB memóriakártya (csak kártya)",4790,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
397,"Sandisk micro SDHC  32 gb + adapter",8890,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
16,"SanDisk micro SDXC Ultra Android kártya 64GB + Adapter",15690,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
364,"Sandisk MicroSD EXTREME 32GB memóriakártya + adapter",11590,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
7,"SanDisk microSDHC kártya 16 GB + Adapter, Class 4",4890,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
285,"SanDisk 16GB SDHC memóriakártya",4890,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
356,"Sandisk SDHC Extreme 32 GB memóriakártya 90MB/s",11190,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
378,"Sandisk SDHC Extreme Pro 32GB memóriakártya 300MB/s",29190,NULL,NULL,NULL,NULL,"SANDISK","32 GB "
175,"Sandisk SDHC Extreme Pro 32GB memóriakártya 95mb/s",13990,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
384,"Sandisk SDXC Extreme 128 GB memóriakártya 90MB/s",29890,NULL,NULL,NULL,NULL,"SANDISK","128 GB"
323,"Sandisk SDXC Extreme 256 GB memóriakártya 90MB/s",55890,NULL,NULL,NULL,NULL,"SANDISK","256 GB"
456,"Sandisk SDXC Extreme 64 GB memóriakártya 90MB/s",18490,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
451,"Sandisk SDXC Extreme Pro 128GB memóriakártya 95mb/s",34490,NULL,NULL,NULL,NULL,"SANDISK","128 GB"
83,"Sandisk SDXC Extreme Pro 256GB memóriakártya 95mb/s",62990,NULL,NULL,NULL,NULL,"SANDISK","256 GB"
428,"Sandisk SDXC Extreme Pro 64GB memóriakártya 95mb/s",21890,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
428,"SanDisk Extreme Pro SDXC 64GB memóriakártya 95MB/s",20890,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
296,"Sony microSDHC UHS-1 U3 32GB memóriakártya + adapter (SR32UZA)",16890,NULL,NULL,NULL,NULL,"SONY","32 GB"
84,"Sony microSDXC UHS-1 U3 64GB memóriakártya + adapter (SR64UXA)",NULL,NULL,NULL,NULL,NULL,"SONY","64 GB"
197,"Sony microSDXC UHS-1 U3 128GB memóriakártya + adapter (SRG1UXA)",59990,NULL,NULL,NULL,NULL,"SONY","128 GB"
128,"Sony microSDXC UHS-1 U3 128GB memóriakártya + adapter (SRG1UZA)",69890,NULL,NULL,NULL,NULL,"SONY","128 GB"
418,"Sony microSDHC UHS-1 U3 32GB memóriakártya + adapter (SR32UXA)",19990,NULL,NULL,NULL,NULL,"SONY","32 GB"
448,"Sony microSDXC UHS-1 U3 64GB memóriakártya + adapter (SR64UZA)",28990,NULL,NULL,NULL,NULL,"SONY","64 GB"
234,"Sony SDHC UHS-I U3 32GB memóriakártya (SF32UZ)",NULL,NULL,NULL,NULL,NULL,"SONY","32 GB"
268,"Sony SDHC UHS-II U3 32GB memóriakártya (SF32G)",39990,NULL,NULL,NULL,NULL,"SONY","32 GB"
120,"Sony SDHC UHS-II U3 32GB memóriakártya (SF32M)",29990,NULL,NULL,NULL,NULL,"SONY","32 GB"
309,"Sony SDXC UHS-II U3 64GB memóriakártya (SF64M)",44990,NULL,NULL,NULL,NULL,"SONY","64 GB"
379,"Sony SDXC UHS-I U3 64GB memóriakártya (SF64UZ)",NULL,NULL,NULL,NULL,NULL,"SONY","64 GB"
368,"Sony SDXC UHS-I U3 128GB memóriakártya (SFG1UZ)",59990,NULL,NULL,NULL,NULL,"SONY","128 GB"
209,"Sony SDXC UHS-I U3 256GB memóriakártya (SFG2UZ)",NULL,NULL,NULL,NULL,NULL,"SONY","256 GB"
181,"Sony SDXC UHS-II U3 128GB memóriakártya (SFG1G)",129990,NULL,NULL,NULL,NULL,"SONY","128 GB"
181,"Sony SDXC UHS-II U3 128GB memóriakártya (SFG1G) + olvasó",124990,NULL,NULL,NULL,NULL,"SONY","128 GB"
410,"Sony SDXC UHS-II U3 128GB memóriakártya (SFG1M)",64990,NULL,NULL,NULL,NULL,"SONY","128 GB"
263,"Sony SDXC UHS-II U3 64GB memóriakártya (SF64G)",69990,NULL,NULL,NULL,NULL,"SONY","64 GB"
263,"Sony SDXC UHS-II U3 64GB memóriakártya (SF64G) + olvasó",52990,NULL,NULL,NULL,NULL,"SONY","64 GB"
235,"Sony XQD G 128GB memóriakártya (QDG128E-R)",99980,NULL,NULL,NULL,NULL,"SONY","128 GB"
29,"Sony XQD G 256GB memóriakártya (QDG256E-R)",199990,NULL,NULL,NULL,NULL,"SONY","256 GB"
146,"Sony XQD G 32GB memóriakártya (QDG32E-R)",48990,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
10,"Sony XQD G 64GB memóriakártya (QDG64E-R)",69990,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
438,"Sony XQD M 128GB memóriakártya (QDM128)",79990,NULL,NULL,NULL,NULL,"SONY","128 GB"
270,"Sony XQD M 32GB memóriakártya (QDM32)",38990,NULL,NULL,NULL,NULL,"SONY","32 GB"
11,"Sony XQD M 64GB memóriakártya (QDM64)",48990,NULL,NULL,NULL,NULL,"SONY","64 GB"
153,"Sandisk cruzer 16 GB ULTRA 3.0 USB memória",4590,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
189,"Sandisk cruzer 32 GB ULTRA 3.0 USB memória",8290,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
298,"SanDisk 64GB Cruzer Blade USB memória",11290,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
337,"Sandisk cruzer 64 GB ULTRA 3.0 USB memória",11890,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
269,"Sandisk Cruzer Blade 128GB",16890,NULL,NULL,NULL,NULL,"SANDISK","128 GB"
179,"Sandisk Cruzer Blade 16GB",4190,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
216,"SanDisk Cruzer Blade 32 GB",7790,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
96,"Sandisk Cruzer Extreme Go 3.1 128 GB USB pendrive",29890,NULL,NULL,NULL,NULL,"SANDISK","128 GB"
308,"Sandisk Cruzer Extreme Go 3.1 64 GB USB pendrive",19790,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
96,"Sandisk Cruzer Extreme pro 3.1 128GB (SSD) USB pendrive",41590,NULL,NULL,NULL,NULL,"SANDISK","128 GB"
421,"SANDISK CRUZER FIT ULTRA 3.0, 16GB, 130MB/S",4990,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
226,"SanDisk Cruzer U &quot;Pink&quot; 32 GB-os Pendrive",7490,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
244,"SanDisk Cruzer Ultra 128 GB, USB 3.0, 100MB/sec Pendrive",19490,NULL,NULL,NULL,NULL,"SANDISK","128 GB"
48,"SANDISK CRUZER ULTRA 3.0, 256GB, 100MB/S",44990,NULL,NULL,NULL,NULL,"SANDISK","256 GB"
94,"SanDisk Cruzer Ultra &quot;Flair&quot; 128 GB-os Pendrive",19790,NULL,NULL,NULL,NULL,"SANDISK","128 GB "
354,"SanDisk Cruzer Ultra &quot;Flair&quot; 16 GB-os Pendrive",4990,NULL,NULL,NULL,NULL,"SANDISK","16 GB "
189,"SanDisk Cruzer Ultra &quot;Flair&quot; 32 GB-os Pendrive",8690,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
337,"SanDisk Cruzer Ultra &quot;Flair&quot; 64 GB-os Pendrive",12890,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
136,"SANDISK DUAL DRIVE, TYPE-C, USB 3.0, 16GB, 130 MB/S",6790,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
90,"SANDISK DUAL DRIVE, TYPE-C, USB 3.0, 32GB, 150 MB/S",9990,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
232,"SanDisk Dual Drive, TYPE-C, USB 3.0, 64GB, 150 MB/S",14190,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
188,"SanDisk mobil memória &quot;DUAL DRIVE&quot; 3.0, 128GB, 150MB/s",19590,NULL,NULL,NULL,NULL,"SANDISK","128 GB"
307,"Sandisk MOBIL MEMÓRIA &quot;DUAL DRIVE&quot; 3.0, 16GB, 130MB/s",5290,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
80,"SANDISK MOBIL MEMÓRIA &quot;DUAL DRIVE&quot; 3.0, 32GB, 150MB/s",8890,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
348,"SANDISK MOBIL MEMÓRIA &quot;DUAL DRIVE&quot; 3.0, 64GB, 150MB/s",12690,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
367,"LEXAR MICRO SD 64GB X633+ADAP C10+ KUPON o warto?ci 50z? na AB FOTOKSI??K? - Abfoto",199,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
367,"LEXAR MICRO SD 64GB X633+ADAP C10+ KUPON o warto?ci 50z? na AB FOTOKSI??K? - Abfoto",199,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
367,"LEXAR MICRO SD 64GB X633+ADAP C10 - Abfoto",199,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
367,"LEXAR MICRO SD 64GB X633+ADAP C10 - Abfoto",199,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
5,"Lexar micro SDHC 16GB X300 + adapter (LSDMI16GBBEU300A) + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",59,NULL,NULL,NULL,NULL,"LEXAR","16 GB"
5,"Lexar micro SDHC 16GB X300 + adapter (LSDMI16GBBEU300A) + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",59,NULL,NULL,NULL,NULL,"LEXAR","16 GB"
98,"Lexar micro SDHC 16GB x633 C10 z czytnikiem (LSDMI16GBBEU633R) + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",99,NULL,NULL,NULL,NULL,"LEXAR","16 GB"
152,"Lexar micro SDHC 32GB X300 + adapter (LSDMI32GBBEU300A) + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",99,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
441,"Lexar micro SDHC 32GB x633 C10 z czytnikiem+KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",159,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
441,"Lexar micro SDHC 32GB x633 C10 z czytnikiem (LSDMI32GBBEU633R) +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",159,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
430,"Lexar SD 128GB 1000X PROFESSIONAL SDHC UHS-II (LSD128CRBEU1000) +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",669,NULL,NULL,NULL,NULL,"LEXAR","128 GB"
292,"Lexar SD 16GB 1000X PROFESSIONAL SDHC UHS-II (LSD16GCRBEU1000) + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",129,NULL,NULL,NULL,NULL,"LEXAR","16 GB"
21,"Lexar SD 256GB 1000X PROFESSIONAL SDHC UHS-II (LSD256CRBEU1000) +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",1,NULL,NULL,NULL,NULL,"LEXAR","256 GB"
54,"Lexar SD 32GB 1000X PROFESSIONAL SDHC UHS-II (LSD32GCRBEU1000) +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",NULL,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
416,"Lexar SD 32GB 2000X PROFESSIONAL SDHC RDR UII UHS-II (LSD32GCRBEU2000R) +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",409,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
343,"Lexar SD 64GB 300X PREMIUM II C10 +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",184,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
204,"Lexar SD 64GB 633X PROFESSIONAL (LSD64GCBEU633) +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",184,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
65,"Lexar SDHC 16GB 633X PROFESSIONAL (LSD16GCBEU633) + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",69,NULL,NULL,NULL,NULL,"LEXAR","16 GB"
222,"Lexar SDHC 32GB 633X PROFESSIONAL (LSD32GCBEU633) +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",129,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
401,"Lexar XQD 128GB X2933 PROFESSIONAL XQD +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",1,NULL,NULL,NULL,NULL,"LEXAR","128 GB"
401,"Lexar XQD 128GB X2933 PROFESSIONAL XQD +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",1,NULL,NULL,NULL,NULL,"LEXAR","128 GB"
346,"Lexar XQD 32GB X1400 PROFESSIONAL XQD +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",329,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
346,"Lexar XQD 32GB X1400 PROFESSIONAL XQD +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",329,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
349,"Lexar XQD 32GB X2933 PROFESSIONAL XQD +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",429,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
349,"Lexar XQD 32GB X2933 PROFESSIONAL XQD +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",NULL,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
36,"Lexar XQD 64GB X1400 PROFESSIONAL XQD +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",520,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
36,"Lexar XQD 64GB X1400 PROFESSIONAL XQD +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",599,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
312,"Lexar XQD 64GB X2933 PROFESSIONAL XQD +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",699,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
129,"SANDISK Extreme 16GB SDHC 60MB/s Klasa 10 UHS-I (SDSDXN-016G-G46) + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",79,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
356,"SanDisk Extreme 32GB SDHC/SDXC UHS-I 90 MB/s+KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",109,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
456,"SanDisk Extreme 64GB SDXC UHS-I 90 MB/s V30+KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",199,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
186,"SANDISK EXTREME PRO SD 16GB 95MB/S SDSDXPA-016G-X46 +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",159,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
174,"SANDISK MICRO 16GB ULTRA+ADAP 80MB + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",39,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
52,"SANDISK MICRO 32GB ULTRA+ADAP 80MB + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",89,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
52,"SANDISK MICRO 32GB ULTRA+ADAP 80MB + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",89,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
52,"SANDISK MICRO 32GB ULTRA+ADAP 80MB + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",75,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
16,"SANDISK MICRO 64GB ULTRA+ADAP 80MB + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",139,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
384,"SANDISK SD 128GB EXTREME 90MB/S C10+KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",315,NULL,NULL,NULL,NULL,"SANDISK","128 GB"
174,"SANDISK SD 16GB 80 MB/S ULTRA MICRO + ADAPTER  + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",59,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
129,"SANDISK SD 16GB EXTR 90MB/S UHS-I+ KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",89,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
129,"SANDISK SD 16GB EXTR 90MB/S UHS-I+ KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",89,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
30,"SANDISK SD 16GB ULTRA 80MB/S C10 + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",49,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
175,"SANDISK SD 32GB EXTR PRO 95MB/S UHS-I+KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",195,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
175,"SANDISK SD 32GB EXTR PRO 95MB/S UHS-I+KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",NULL,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
85,"SANDISK SD 32GB ULTRA 80MB/S C10 +KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",89,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
52,"SANDISK SD 32GB ULTRA MICRO + ADAPTER SDSDQUA-032G-U46A + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",NULL,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
364,"SANDISK SD MICRO 32GB 90MB/S +ADAPTER+KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",125,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
174,"SanDisk Ultra microSDHC 16GB 48MB/s UHS-I Class10 + Adapter (SDSDQUIN-016G-G4) + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",NULL,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
176,"SANDISK ULTRA SD 8GB MICRO 48MB/S C10+ KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",25,NULL,NULL,NULL,NULL,"SANDISK","8 GB"
85,"SANDISK ULTRA SDHC 32GB 40MB/S C10 - SDSDUN-032G-G46 + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",75,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
334,"SONY SD 16GB UHS I 94MB/S  karta pami?ci PROMOCJA -druga karta Sony za 50% ceny* +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto",125,NULL,NULL,NULL,NULL,"SONY","16 GB"
224,"SONY SD 8GB UHS I 94MB/S karta pami?ci PROMOCJA -druga karta Sony za 50% ceny* + KUPON o warto?ci 40z? na AB FOTOKSI??K? - Abfoto",69,NULL,NULL,NULL,NULL,"SONY","8 GB"
5,"LEXAR TARJETA MICRO SDHC 16GB 300X 45MB CON ADAPTADOR SD - Tarjetas - Accesorios",19,NULL,NULL,NULL,NULL,"LEXAR","16 GB"
152,"LEXAR TARJETA MICRO SDHC 32GB 300X 45MB CON ADAPTADOR SD - Tarjetas - Accesorios",25,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
98,"LEXAR TARJETA MICRO SDHC UHS-I 633X-16GB+ADAPTADOR(CLASE 10) - Tarjetas - Accesorios",25,NULL,NULL,NULL,NULL,"LEXAR","16 GB"
441,"LEXAR TARJETA MICRO SDHC UHS-I 633X-32GB+ADAPTADOR(CLASE 10) - Tarjetas - Accesorios",39,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
95,"LEXAR TARJETA MICRO SDXC 633X-128GB UHS-I (CLASE 10) - Tarjetas - Accesorios",79,NULL,NULL,NULL,NULL,"LEXAR","128 GB"
367,"LEXAR TARJETA MICRO SDXC 633X-64GB LECTOR USB 3.0 (CLASE 10) - Tarjetas - Accesorios",39,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
75,"LEXAR TARJETA MICRO SDXC H-SPEED 64GB CON ADAPTADOR SD - Tarjetas - Accesorios",59,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
95,"LEXAR TARJETA MICRO SDXC UHS-I 633X-128GB+ADAPTADOR(CLASE 10 - Tarjetas - Accesorios",99,NULL,NULL,NULL,NULL,"LEXAR","128 GB"
367,"LEXAR TARJETA MICRO SDXC UHS-I 633X-64GB+ADAPTADOR(CLASE 10) - Tarjetas - Accesorios",79,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
98,"LEXAR TARJETA MICROSDHC 633X-16GB LECTOR USB 3.0 (CLASE 10)  - Tarjetas - Accesorios",29,NULL,NULL,NULL,NULL,"LEXAR","16 GB"
441,"LEXAR TARJETA MICROSD 633X-32GB LECTOR USB 3.0 (CLASE 10) - Tarjetas - Accesorios",39,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
160,"LEXAR TARJETA SD 300X-32GB-45MB - Tarjetas - Accesorios",25,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
54,"LEXAR TARJETA SDHC 1000X 150MB/75MB 32GB PROFESIONAL - Tarjetas - Accesorios",79,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
416,"LEXAR TARJETA SDHC RDR UII 2000X-32GB - Tarjetas - Accesorios",129,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
396,"LEXAR TARJETA SDHC RDR UII 2000X-64GB - Tarjetas - Accesorios",229,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
93,"LEXAR TARJETA SDHC UHS-I 633X-128GB-95MB(CLASE 10) - Tarjetas - Accesorios",109,NULL,NULL,NULL,NULL,"LEXAR","128 GB"
65,"LEXAR TARJETA SDHC UHS-I 633X-16GB-95MB(CLASE 10) - Tarjetas - Accesorios",22,NULL,NULL,NULL,NULL,"LEXAR","16 GB"
222,"LEXAR TARJETA SDHC UHS-I 633X-32GB-95MB(CLASE 10) - Tarjetas - Accesorios",35.01,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
204,"LEXAR TARJETA SDHC UHS-I 633X-64GB-95MB(CLASE 10) - Tarjetas - Accesorios",59,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
374,"LEXAR TARJETA SDXC 1000X 150MB/75MB 64GB PROFESIONAL - Tarjetas - Accesorios",129,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
408,"LEXAR TARJETA SDXC UHS-II 300MB 2000X-128GB+LECTOR SD - Tarjetas - Accesorios",499,NULL,NULL,NULL,NULL,"LEXAR","128 GB"
401,"LEXAR TARJETA XQD 440 MB 128GB - Tarjetas - Accesorios",429.01,NULL,NULL,NULL,NULL,"LEXAR","128 GB"
349,"LEXAR TARJETA XQD 440 MB 32GB - Tarjetas - Accesorios",149,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
312,"LEXAR TARJETA XQD 440 MB 64GB - Tarjetas - Accesorios",259,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
17,"LEXAR USB 16GB V-10",15,NULL,NULL,NULL,NULL,"LEXAR","16 GB"
63,"LEXAR USB 32GB V-10",25,NULL,NULL,NULL,NULL,"LEXAR","32 GB"
134,"LEXAR USB 64GB V-10",45,NULL,NULL,NULL,NULL,"LEXAR","64 GB"
169,"SANDISK CRUZER EXTREME USB 3.0 32GB NV",39,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
308,"SANDISK CRUZER EXTREME USB 3.0 64GB NV",69.01,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
158,"SANDISK MICRO SDHC EXTREM 16GB 60MB (CLASE 10) - Tarjetas - Accesorios",15,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
364,"SANDISK MICRO SDHC EXTREM 32GB 60MB (CLASE 10) - Tarjetas - Accesorios",25,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
52,"SANDISK MICRO SDHC ULTRA 32GB 48MB (CLASE 10) - Tarjetas - Accesorios",19,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
364,"SANDISK TARJETA MICRO SDHC EXTREM 32GB 90MB (CLASE 10). - Tarjetas - Accesorios",25,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
364,"SANDISK TARJETA MICRO SDHC EXTREM 32GB+ADAPTADOR SD 90MB/S C10 - Tarjetas - Accesorios",36,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
364,"SANDISK TARJETA MICRO SDHC EXTREM 32GB+ADAPTADOR SD 90MB/S PACK2 - Tarjetas - Accesorios",69.01,NULL,NULL,NULL,NULL,"SANDISK","32 GB"
445,"SANDISK TARJETA MICRO SDHC EXTREM 64GB 90MB (CLASE 10) - Tarjetas - Accesorios",49.01,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
445,"SANDISK TARJETA MICRO SDHC EXTREM 64GB+ADAPTADOR SD 90MB/S  - Tarjetas - Accesorios",69.01,NULL,NULL,NULL,NULL,"SANDISK","64 GB"
377,"SANDISK TARJETA MICRO SDHC EXTREM PRO 16GB HC 95MB CLASE 10 - Tarjetas - Accesorios",29,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
74,"SANDISK TARJETA MICRO SDHC ULTRA 128GB 80MB (CLASE 10) - Tarjetas - Accesorios",109,NULL,NULL,NULL,NULL,"SANDISK","128 GB"
174,"SANDISK TARJETA MICRO SDHC ULTRA 16GB 80MB (CLASE 10) - Tarjetas - Accesorios",11,NULL,NULL,NULL,NULL,"SANDISK","16 GB"
